"id","name-norwegian","group-number","group-norwegian","type","fci-status","cacib","name-english","group-english","country","url-image","url-fci","url-nkk"
"287","Australian cattledog",1,"1 – Bruks- hyrde- og gjeterhunder",,,,,,,"https://cdn.britannica.com/51/236051-050-C70F4FE8/Australian-cattle-dog.jpg",,
"293","Australian kelpie",1,"1 – Bruks- hyrde- og gjeterhunder",,,,,,,"https://cdn.shopify.com/s/files/1/0994/0236/files/australian-kelpie-fun-facts-crate-size_large.jpg?v=1560726590",,
"342","Australian shepherd",1,"1 – Bruks- hyrde- og gjeterhunder",,,,,,,"https://www.k9web.com/wp-content/uploads/2021/01/adult-blue-merle-australian-shepherd-posing-outdoor.jpg",,
"351","Australian stumpy tail cattle dog",1,"1 – Bruks- hyrde- og gjeterhunder",,"provisional","no",,,,"https://www.dailypaws.com/thmb/k8v-mb4TXCNcnVhZGaBibHPlSK4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/australian-stumpy-tail-cattle-dog-side-view-grey-and-white-bernadette-merchant-2000-b6d116a72e28476c984b9bbf6adfabb8.jpg",,
"340","Azores cattle dog",1,"1 – Bruks- hyrde- og gjeterhunder",,,,,,,"http://yesofcorsa.com/wp-content/uploads/2017/09/Azores-Cattle-Dog-Wallpaper.jpg",,
"271","Bearded collie",1,"1 – Bruks- hyrde- og gjeterhunder",,,,,,,"https://nosamisleschiens.fr/wp-content/uploads/2014/12/Bearded-Collie-scaled.jpeg",,
"044","Beauceron",1,"1 – Bruks- hyrde- og gjeterhunder",,,,,,,"https://www.thekennelclub.org.uk/media/1420/beauceron-standing.jpg?mode=pad&width=1000&rnd=132140471910000000",,
"194","Bergamasco",1,"1 – Bruks- hyrde- og gjeterhunder",,,,,,,"https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28124755/Bergamasco-Sheepdog-standing-in-a-field-in-the-mountains.jpg",,
"297","Border collie",1,"1 – Bruks- hyrde- og gjeterhunder",,,,,,,"https://animalsbreeds.com/wp-content/uploads/2015/01/border-collie-8.jpg",,
"191","Bouvier des Flandres",1,"1 – Bruks- hyrde- og gjeterhunder",,,,,,,"https://upload.wikimedia.org/wikipedia/commons/7/7f/Bouvier.JPG",,
